Section Distance [km];Depth;Fluorescence;Estimated-Measured Fluorescence
2.09789;88.10780;0.96980;-0.03579
2.09789;87.81490;0.93300;-0.00115
2.09789;87.97670;0.91400;0.01904
2.13067;89.73480;0.94730;-0.04214
2.13067;89.30750;0.91080;0.00744
2.13067;88.92910;0.95850;-0.03195
2.13067;88.76980;0.93470;-0.00465
2.13067;88.79920;0.93230;-0.00290
2.16345;90.90040;0.83590;0.01786
2.16345;90.62710;0.92490;-0.05872
2.16345;89.95980;0.93520;-0.04223
2.16345;89.53550;0.90700;0.00042
2.16345;89.65100;0.92140;-0.01791
2.16345;89.80300;0.88760;0.01071
2.19623;92.26540;0.75420;0.00838
2.19623;91.87370;0.79650;-0.01503
2.19623;91.31490;0.85270;-0.02808
2.19623;90.89470;0.86760;-0.01755
2.19623;90.83320;0.84800;0.00480
2.22901;93.62850;0.70160;-0.00051
2.22901;93.19110;0.76250;-0.04134
2.22901;92.67940;0.73340;0.01044
2.22901;92.40160;0.76740;-0.01258
2.22901;92.28630;0.76380;-0.00442
2.26179;95.14140;0.68290;-0.02859
2.26179;94.74980;0.68740;-0.02203
2.26179;94.42480;0.69250;-0.01773
2.26179;94.18040;0.68150;0.00077
2.26179;93.94830;0.72330;-0.03392
2.29457;97.03890;0.68320;-0.04949
2.29457;96.64940;0.65120;-0.02400
2.29457;96.28320;0.63850;-0.01742
2.29457;96.04840;0.64980;-0.02309
2.29457;95.85920;0.64070;-0.00817
2.29457;95.52080;0.66800;-0.02506
2.32735;98.34240;0.61960;0.01093
2.32735;98.02840;0.65600;-0.02414
2.32735;97.74230;0.63870;-0.00576
2.32735;97.51520;0.62800;0.00578
2.32735;97.30220;0.62920;0.00537
2.36013;99.62200;0.64460;-0.02269
2.36013;99.20240;0.63260;-0.00749
2.36013;98.96000;0.62430;0.00266
2.36013;98.96910;0.61780;0.00909
2.36013;98.96340;0.61560;0.01134
2.36013;98.67680;0.65340;-0.02494
2.39290;100.78760;0.65400;-0.03307
2.39290;100.51940;0.64390;-0.02408
2.39290;100.33220;0.62710;-0.00739
2.39290;100.22650;0.62900;-0.00935
2.39290;100.03300;0.64070;-0.02117
2.42568;102.20400;0.63930;-0.02520
2.42568;101.91640;0.64860;-0.02949
2.42568;101.60390;0.65200;-0.02745
2.42568;101.23570;0.64950;-0.02700
2.42568;101.00320;0.64870;-0.02805
2.45846;103.58510;0.54990;-0.00083
2.45846;103.23930;0.59660;-0.02934
2.45846;102.62280;0.64360;-0.04431
2.45846;102.30580;0.64790;-0.03799
2.45846;102.25170;0.62540;-0.01455
2.49124;104.94260;0.49110;-0.00800
2.49124;104.87130;0.49020;-0.00420
2.49124;104.44940;0.53560;-0.03245
2.49124;103.84410;0.55960;-0.02629
2.49124;103.58370;0.57880;-0.03177
2.49124;103.54010;0.55790;-0.00857
2.52402;106.16720;0.46390;-0.01335
2.52402;106.06580;0.45460;-0.00178
2.52402;105.65830;0.49300;-0.03164
2.52402;105.12460;0.50470;-0.03015
2.52402;104.90710;0.47400;0.00926
2.55680;107.05890;0.41000;0.00323
2.55680;107.16240;0.42990;-0.02259
2.55680;106.78120;0.46410;-0.03948
2.55680;106.32710;0.48130;-0.03807
2.55680;106.06640;0.45170;0.00031
2.58958;104.13780;0.51230;0.00038
2.58958;103.56550;0.55080;-0.00860
2.58958;103.77530;0.53420;-0.00282
2.58958;104.67350;0.48410;0.00566
2.58958;105.83190;0.43560;0.02036
2.62236;106.59640;0.41880;0.01219
2.62236;106.40760;0.42900;0.00958
2.62236;105.94400;0.46300;-0.01016
2.62236;105.38940;0.46230;0.00160
2.62236;104.99860;0.48220;-0.00629
2.62236;104.63920;0.50490;-0.01526
2.65514;108.10750;0.33540;0.01179
2.65514;107.76020;0.37760;-0.01020
2.65514;107.32290;0.41390;-0.01810
2.65514;106.84820;0.43520;-0.01483
2.65514;106.64940;0.42680;0.00148
2.68792;109.35790;0.33210;-0.01458
2.68792;109.00780;0.32350;-0.00215
2.68792;108.70710;0.31560;0.01424
2.68792;108.52480;0.34290;-0.00773
2.68792;108.33370;0.34310;-0.00234
2.72070;107.77230;0.32550;0.04111
2.72070;108.64100;0.31360;0.01848
2.72070;109.58230;0.29960;0.01592
2.72070;109.82240;0.31720;-0.00428
2.72070;109.60170;0.30850;0.00681
2.75348;104.79280;0.42850;0.04985
2.75348;105.18050;0.40240;0.06208
2.75348;105.81300;0.40360;0.04829
2.75348;106.55970;0.38340;0.04660
2.75348;107.14710;0.33720;0.06890
2.78626;99.75920;0.56880;0.03555
2.78626;100.38160;0.53480;0.06573
2.78626;101.06640;0.49720;0.10225
2.78626;102.06190;0.45890;0.13303
2.78626;103.12350;0.42150;0.13108
2.78626;104.11430;0.41330;0.09024
2.81904;97.12670;0.60700;0.03238
2.81904;97.73060;0.60490;0.02584
2.81904;98.13140;0.60520;0.02052
2.81904;98.57590;0.62890;-0.00709
2.81904;99.12710;0.58170;0.03296
2.85182;95.34990;0.59630;0.05088
2.85182;95.78360;0.61030;0.02867
2.85182;95.97060;0.59530;0.04012
2.85182;96.16950;0.58540;0.04625
2.85182;96.58360;0.57570;0.05812
2.88460;93.42170;0.68130;0.00211
2.88460;93.64460;0.66220;0.01245
2.88460;93.82720;0.62220;0.04958
2.88460;94.13250;0.61320;0.05442
2.88460;94.64880;0.60710;0.05289
2.91738;91.76410;0.72120;0.01103
2.91738;92.02490;0.68700;0.03479
2.91738;92.47320;0.68540;0.02746
2.91738;92.85390;0.69220;0.01215
2.91738;93.19900;0.66210;0.02877
2.95016;90.18460;0.80470;-0.01902
2.95016;90.30830;0.77630;0.00581
2.95016;90.68720;0.73580;0.03578
2.95016;91.23680;0.69650;0.05751
2.95016;91.60370;0.72230;0.01487
2.95016;91.67730;0.69980;0.03400
2.98294;88.98470;0.81160;0.01167
2.98294;89.12870;0.79210;0.02487
2.98294;89.54980;0.78120;0.01908
2.98294;90.03570;0.71050;0.07564
2.98294;90.20240;0.72880;0.05249
3.01572;87.98420;0.88170;-0.03462
3.01572;88.23710;0.83320;0.00987
3.01572;88.59460;0.79180;0.04559
3.01572;88.96500;0.77060;0.05049
3.01572;89.07880;0.79860;0.01743
3.04850;87.24240;0.85610;0.00722
3.04850;87.22870;0.86800;-0.00429
3.04850;87.50820;0.83200;0.02378
3.04850;87.81420;0.85590;-0.00830
3.04850;88.03280;0.82400;0.01997
3.04850;88.01560;0.81910;0.02515
3.08127;86.32850;0.86630;0.02499
3.08127;86.29570;0.88360;0.00885
3.08127;86.41290;0.86740;0.02092
3.08127;86.77490;0.84350;0.03206
3.08127;87.11660;0.83840;0.02629
3.11405;85.58090;0.91450;-0.01938
3.11405;85.75960;0.89840;-0.00295
3.11405;85.63540;0.89880;-0.00358
3.11405;85.83380;0.88520;0.01039
3.11405;86.08560;0.86930;0.02674
3.11405;86.28870;0.87470;0.01571
3.14683;84.85380;0.86530;0.02526
3.14683;84.98250;0.85270;0.03847
3.14683;84.88830;0.87110;0.01963
3.14683;84.95390;0.87370;0.01734
3.14683;85.30550;0.86520;0.02749
3.17961;83.71310;0.86450;0.03516
3.17961;84.00170;0.88150;0.01365
3.17961;84.07050;0.86230;0.03177
3.17961;83.97770;0.89340;0.00212
3.17961;84.18720;0.89970;-0.00745
3.17961;84.57210;0.87570;0.01205
3.21239;82.97710;0.90470;0.02921
3.21239;83.23110;0.90320;0.01821
3.21239;83.31200;0.89260;0.02483
3.21239;83.26320;0.86650;0.05333
3.21239;83.35920;0.89770;0.01741
3.24517;82.34740;0.93920;-0.00416
3.24517;82.51480;0.93740;-0.00107
3.24517;82.53920;0.94960;-0.01308
3.24517;82.52390;0.93470;0.00170
3.24517;82.69270;0.91600;0.02170
3.27795;81.47020;0.94620;-0.02950
3.27795;81.71600;1.00390;-0.07874
3.27795;82.05210;0.93010;0.00663
3.27795;82.20310;0.94340;-0.00562
3.27795;82.22290;0.93100;0.00682
3.31073;80.71180;0.96040;-0.05113
3.31073;80.90770;0.93710;-0.02444
3.31073;81.27970;0.93880;-0.01962
3.31073;81.61070;0.93720;-0.00850
3.31073;81.64230;0.91330;0.01631
3.31073;81.49400;0.92480;0.00055
3.34351;80.39460;0.92440;-0.02693
3.34351;80.57580;0.95250;-0.03489
3.34351;80.74680;0.96920;-0.04902
3.34351;80.82770;0.94810;-0.02671
3.34351;80.71310;0.95550;-0.03583
3.37629;79.58360;0.77750;-0.06373
3.37629;79.73700;0.95080;-0.19768
3.37629;79.83500;0.96490;-0.18867
3.37629;79.99290;0.95430;-0.14085
3.37629;80.19000;0.92140;-0.06147
3.40907;78.36540;0.41980;0.04937
3.40907;78.22200;0.40240;0.04936
3.40907;78.47130;0.45610;0.02592
3.40907;79.00870;0.56270;0.00277
3.40907;79.42160;0.59510;0.08280
3.40907;79.54800;0.71210;0.00021
3.44185;77.20440;0.34270;0.03162
3.44185;77.21190;0.33550;0.03880
3.44185;77.58950;0.35500;0.04285
